num,stock,big,profit,p,share
3018,同開,0.52,-0.0172 ,20.05,47.43
3019,亞光,-0.93,0.1692 ,45.6,46.8
3021,衛展,-0.14,0.0806 ,13.4,69.97
3022,威達電,0.78,0.1253 ,53,55.18
3023,信邦,0.43,0.1731 ,48.45,44.75
3024,憶聲,-0.43,0.1317 ,6.36,48.56
3025,星通,0.98,0.1317 ,11.6,38.86
3026,禾伸堂,0.06,0.0962 ,45,53.82
3027,盛達,-2.03,-0.2138 ,17.1,48.63
3028,增你強,0.47,0.0471 ,17.8,37.75
3029,零壹,0.35,0.1507 ,16.8,43.57
3030,德律,0.27,0.1174 ,53.3,64.52
3031,佰鴻,0.88,0.1781 ,14.55,55.87
3032,偉訓,0.6,0.1020 ,24.3,60.81
3033,威健,-0.36,0.0386 ,24.2,41.81
3034,聯詠,-0.73,0.0517 ,173,79.22
3035,智原,8.34,0.3049 ,41.3,46.6
3036,文曄,1.01,0.0095 ,47.95,69.81
3037,欣興,-3.5,-0.0469 ,21.35,68.68
3038,全台,0.34,-0.0160 ,7.97,30.53
3040,遠見,-1.97,0.4634 ,45.95,65.82
3041,揚智,1.81,0.1288 ,28.05,33.12
3042,晶技,-2.65,0.0606 ,38.5,53.37
3043,科風,-1.12,-0.0909 ,4.6,23.15
3044,健鼎,0.84,0.1370 ,66.4,82.5
3045,台灣大,0.57,0.1163 ,108.5,94.58
3046,建碁,-3.45,0.7647 ,13.2,53.78
3047,訊舟,-1.15,0.0424 ,12.3,28.6
3048,益登,-0.65,-0.0331 ,27.75,49.67
3049,和鑫,0.19,0.2093 ,7.8,47.86
3050,鈺德,4.45,0.1475 ,7,54.73
3051,力特,0.19,1.6733 ,13.5,49.28
3052,夆典,0.29,0.0762 ,12,59.53
3054,萬國,3.43,0.4203 ,19.6,41.81
3055,蔚華科,0.13,-0.0391 ,20.9,50.47
3056,駿億,-0.01,0.0294 ,19.25,60.7
3057,喬鼎,-4.76,0.0059 ,33.95,44.06
3058,立德,0.82,0.0519 ,12.15,38.53
3059,華晶科,-0.99,0.0819 ,37,51.64
3060,銘異,2.14,0.1227 ,151,25
3061,璨圓,0.44,8.9670 ,151,57.6
3062,建漢,-0.02,-0.0166 ,23.65,47.25
3064,泰偉電子,-1.19,-0.0319 ,30.3,58.13
3066,李洲科技,-25.96,1.0023 ,8.57,74.04
3067,全域,0,0.2212 ,20.15,83.26
3068,美磊科技,1.52,0.1077 ,36,61.35
3071,協禧電機,-0.15,0.1886 ,8.76,67.34
3073,普格,-0.87,-0.1172 ,12.05,69.85
3078,僑威科技,2.57,0.2202 ,20.5,60.98
3083,中華網龍,-0.24,0.4313 ,59.9,58.62
3085,久大資訊,1.1,0.2786 ,9.04,44.49
3086,華義國際,1.63,0.4879 ,15.4,26.59
3088,艾訊,1.73,0.0466 ,74.1,62.68
3089,展成科技,0.57,-0.0200 ,39.3,23.59
3090,日電貿,0.54,0.1363 ,27.1,38.11
3092,鴻碩精密,0.7,0.5208 ,25.55,52.25
3093,台灣港建,-0.01,0.0263 ,39,72.62
3094,聯傑,-1.07,0.0929 ,35.3,16.63
3095,及成,4.83,2.1200 ,15.6,50.54
3114,好德科技,-2.87,0.0062 ,16.3,53.55
3115,寶島極光,-0.81,-0.0669 ,13.95,73.94
3126,信億科技,-0.11,0.0638 ,15,34.08
